student,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
22558,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0
24285,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1
24356,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1
53364,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0
53076,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
24229,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
22560,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
24169,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
53652,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0
24064,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
22602,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
37679,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
24227,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
24413,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1
53091,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0
53072,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0
11720,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
11807,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
11896,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0
11675,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11898,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1
24354,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
24358,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24359,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1
24228,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
24463,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1
24295,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
37492,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
24355,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
37375,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
24357,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
24462,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1
24171,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
55359,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0
37603,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1
24461,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
37602,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
37808,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
22559,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
45005,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1
22470,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
37699,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1
38028,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0
22525,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1
22561,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0
22468,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
40962,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1
16598,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
40329,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
40747,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0
26905,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1
40729,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
37267,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1
40248,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
41070,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
40986,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
36786,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0
40487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36802,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
6302,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1
6301,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1
6234,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1
6213,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
6280,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
22541,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0
40356,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
9878,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9645,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
9960,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1
10031,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0
56533,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1
9973,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
18589,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1
10047,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
9877,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1
25823,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1
9816,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
9571,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
9656,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
10127,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0
9580,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0
9889,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1
9905,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1
56537,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1
10060,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
37698,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1
9891,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1
9920,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1
9768,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1
9907,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
53519,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
10143,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1
9673,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0
9675,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1
9909,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1
9906,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1
43072,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
9672,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0
9807,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
9683,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9904,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1
37605,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
36644,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
36452,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
37598,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
36803,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
37701,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1
37268,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1
37607,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1
55273,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1
37488,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
37810,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1
38027,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
37601,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1
37370,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0
36408,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
36605,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
36726,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
54262,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36538,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38020,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1
55259,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1
37596,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1
37599,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
37490,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1
37597,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1
37594,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
